episode,reward
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.020405505
116,0.020405505
117,0.020405505
118,0.020405505
119,0.020405505
120,0.020405505
121,0.020405505
122,0.020405505
123,0.020405505
124,0.020405505
125,0.020405505
126,0.020405505
127,0.020405505
128,0.020405505
129,0.020405505
130,0.020405505
131,0.020405505
132,0.020405505
133,0.020405505
134,0.017541574
135,0.017541574
136,0.017541574
137,0.017541574
138,0.017541574
139,0.017541574
140,0.017541574
141,0.017541574
142,0.017541574
143,0.017541574
144,0.017541574
145,0.017541574
146,0.017541574
147,0.017541574
148,0.017541574
149,0.017541574
150,0.017541574
151,0.017541574
152,0.017541574
153,0.015382612
154,0.015382612
155,0.015382612
156,0.015382612
157,0.015382612
158,0.015382612
159,0.015382612
160,0.015382612
161,0.015382612
162,0.015382612
163,0.015382612
164,0.015382612
165,0.015382612
166,0.015382612
167,0.015382612
168,0.015382612
169,0.015382612
170,0.015382612
171,0.015382612
172,0.013696846
173,0.013696846
174,0.013696846
175,0.013696846
176,0.013696846
177,0.013696846
178,0.013696846
179,0.013696846
180,0.013696846
181,0.013696846
182,0.013696846
183,0.013696846
184,0.013696846
185,0.013696846
186,0.013696846
187,0.013696846
188,0.013696846
189,0.013696846
190,0.013696846
191,0.012498372
192,0.012344071
193,0.012344071
194,0.012344071
195,0.012344071
196,0.012344071
197,0.012344071
198,0.012344071
199,0.012344071
200,0.012344071
201,0.012344071
202,0.012344071
203,0.012344071
204,0.012344071
205,0.012344071
206,0.012344071
207,0.012344071
208,0.012344071
209,0.012344071
210,0.012344071
211,0.011234492
212,0.011234492
213,0.011234492
214,0.011234492
215,0.011234492
216,0.011234492
217,0.011234492
218,0.011234492
219,0.011234492
220,0.011234492
221,0.011234492
222,0.011234492
223,0.011234492
224,0.011234492
225,0.011234492
226,0.011234492
227,0.011234492
228,0.011234492
229,0.011234492
230,0.010307936
231,0.010307936
232,0.010307936
233,0.010307936
234,0.010307936
235,0.010307936
236,0.010307936
237,0.010307936
238,0.010307936
239,0.010307936
240,0.010307936
241,0.010307936
242,0.010307936
243,0.010307936
244,0.010307936
245,0.010307936
246,0.010307936
247,0.010307936
248,0.010307936
249,0.009998698
250,0.009998698
251,0.009998698
252,0.009998698
253,0.009998698
254,0.009998698
255,0.009998698
256,0.009998698
257,0.009998698
258,0.009998698
259,0.009998698
260,0.009998698
261,0.009998698
262,0.009998698
263,0.009998698
264,0.009998698
265,0.009998698
266,0.009998698
267,0.009998698
268,0.009998698
269,0.009998698
270,0.009998698
271,0.009998698
272,0.009998698
273,0.009998698
274,0.009998698
275,0.009998698
276,0.009998698
277,0.009998698
278,0.009998698
279,0.009998698
280,0.009998698
281,0.009998698
282,0.009998698
283,0.009998698
284,0.009998698
285,0.009998698
286,0.009998698
287,0.009998698
288,0.009998698
289,0.009998698
290,0.009998698
291,0.009998698
292,0.009998698
293,0.009998698
294,0.009998698
295,0.009998698
296,0.009998698
297,0.009998698
298,0.009998698
