episode,reward
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.09087095
37,0.09087095
38,0.05111491
39,0.05111491
40,0.05111491
41,0.05111491
42,0.05111491
43,0.05111491
44,0.05111491
45,0.05111491
46,0.05111491
47,0.05111491
48,0.05111491
49,0.05111491
50,0.05111491
51,0.05111491
52,0.05111491
53,0.05111491
54,0.05111491
55,0.04810815
56,0.04810815
57,0.034076605
58,0.034076605
59,0.034076605
60,0.034076605
61,0.034076605
62,0.034076605
63,0.034076605
64,0.034076605
65,0.034076605
66,0.034076605
67,0.034076605
68,0.034076605
69,0.034076605
70,0.034076605
71,0.034076605
72,0.034076605
73,0.034076605
74,0.034076605
75,0.032713544
76,0.025557455
77,0.025557455
