episode,reward
0,0.9773333
1,0.96293336
2,0.9432222
3,0.6644286
4,0.6644286
5,0.69620836
6,0.6188519
7,0.5273333
8,0.50536114
9,0.53519046
10,0.49952084
11,0.5251403
12,0.5116752
13,0.49812698
14,0.47572464
15,0.45590279
16,0.4472549
17,0.44826415
18,0.44137928
19,0.44931072
20,0.44368815
21,0.42982292
22,0.41776472
23,0.4253709
24,0.4270959
25,0.4172554
26,0.41190597
27,0.4198233
28,0.44352487
29,0.45403585
30,0.45930496
31,0.4600486
32,0.45114663
33,0.4239
34,0.4239
35,0.4241
36,0.41498664
37,0.39657998
38,0.42513996
39,0.4152467
40,0.41524667
41,0.40632668
42,0.40597332
43,0.40459332
44,0.4046
45,0.41364667
46,0.42219996
47,0.4210333
48,0.43068
49,0.44072002
50,0.42194664
51,0.42234665
52,0.42234665
53,0.43219998
54,0.43220004
55,0.42341998
56,0.42341998
57,0.42390668
58,0.4346
59,0.42528
60,0.42360663
61,0.42556
62,0.40674004
63,0.39727333
64,0.41665334
65,0.40875998
66,0.41893333
67,0.41893333
68,0.41893333
69,0.41940665
70,0.42009336
71,0.42009336
72,0.4200933
73,0.40080002
74,0.39106
75,0.3918067
76,0.4009
77,0.4018867
78,0.41215336
79,0.40267998
80,0.40281332
81,0.40281335
82,0.40418
83,0.42442665
84,0.42446664
85,0.42446667
86,0.41506663
87,0.40507331
88,0.38513336
89,0.39413998
90,0.37622002
91,0.38727993
92,0.36955333
93,0.36955333
94,0.35972
95,0.35830003
96,0.34898666
97,0.35582665
98,0.35582674
99,0.3452
100,0.35328004
101,0.37904
102,0.38761997
103,0.3976133
104,0.39761335
105,0.39761335
106,0.39774
107,0.38782
108,0.38781998
109,0.3960867
110,0.38547334
111,0.38547334
112,0.38444665
113,0.36587334
114,0.36587334
115,0.36587334
116,0.38261998
117,0.3532133
118,0.3532133
119,0.3428133
120,0.3410867
121,0.35039333
122,0.35039333
123,0.35039333
124,0.3587533
125,0.36875328
126,0.37816003
127,0.36645997
128,0.35646665
129,0.34750667
130,0.34750664
131,0.35725334
132,0.35727334
133,0.34862664
134,0.34007332
135,0.33104
136,0.3389733
137,0.3335534
138,0.31458667
139,0.30485332
140,0.30412
141,0.30366
142,0.29366666
143,0.3122333
144,0.32222667
145,0.33197334
146,0.30464
147,0.30464
148,0.28816
149,0.30779332
150,0.30779332
151,0.29784667
152,0.29846665
153,0.29848
154,0.31873998
155,0.32827333
156,0.34025338
157,0.34964
158,0.36123332
159,0.36068666
160,0.36167333
161,0.38125336
162,0.39018
163,0.39171332
164,0.40136665
165,0.38196
166,0.38196
167,0.40094665
168,0.3832
169,0.38242665
170,0.38258666
171,0.38286003
172,0.38383335
173,0.39407334
174,0.40319997
175,0.41244
176,0.42136
177,0.43014
178,0.43014
179,0.41932
180,0.41880006
181,0.42832673
182,0.45636672
183,0.44860664
184,0.44702
185,0.4469133
186,0.45579997
187,0.4359533
188,0.43595338
189,0.42566666
190,0.42566666
191,0.42566666
192,0.40638
193,0.40678665
194,0.41563997
195,0.40515336
196,0.40382
197,0.4227934
198,0.43311334
199,0.44128668
200,0.44128668
201,0.43276665
202,0.44103327
203,0.4575133
204,0.45746
205,0.45740002
206,0.45828003
207,0.4486267
208,0.44980663
209,0.45716664
210,0.44840664
211,0.44840667
212,0.44771332
213,0.4462133
214,0.44575995
215,0.44706002
216,0.4378467
217,0.4379133
218,0.43741333
219,0.42818
220,0.42818
221,0.42774665
222,0.41888002
223,0.44027328
224,0.4402733
225,0.45026666
226,0.43116665
227,0.44046664
228,0.43214664
229,0.43310666
230,0.42253998
231,0.42336667
232,0.44270667
233,0.43271336
234,0.40698668
235,0.40656003
236,0.40645337
237,0.4066733
238,0.38681334
239,0.38619998
240,0.39508668
241,0.38466662
242,0.36777332
243,0.36777332
244,0.35858667
245,0.35958
246,0.35958
247,0.36125335
248,0.3605333
249,0.3605333
250,0.35985333
251,0.36108002
252,0.36105332
253,0.36154664
254,0.37000668
255,0.36096668
256,0.36034
257,0.3583867
258,0.35744
259,0.36557332
260,0.33691335
261,0.37471333
262,0.36574
263,0.35575336
264,0.3756
265,0.37528667
266,0.3557267
267,0.35449332
268,0.36390668
269,0.36390668
270,0.3719467
271,0.37007332
272,0.38915333
273,0.38811332
274,0.39811328
275,0.4155666
276,0.40589997
277,0.40590003
278,0.46191338
279,0.45266667
280,0.4516934
281,0.45300665
282,0.4622533
283,0.45242
284,0.44269332
285,0.43393335
286,0.43209335
287,0.4320333
288,0.4529067
289,0.44302
290,0.44414666
291,0.44443333
292,0.44331998
293,0.44332
294,0.44317332
295,0.4228867
296,0.4228867
297,0.4234533
298,0.4234533
299,0.44420663
300,0.44388664
301,0.43408668
302,0.44392
303,0.43734002
304,0.43977997
305,0.4310533
306,0.4307133
307,0.41243327
308,0.42152
309,0.43098
310,0.41158
311,0.41155997
312,0.40135998
313,0.41086003
314,0.4178134
315,0.41781333
316,0.41806662
317,0.44709998
318,0.4662467
319,0.47572002
320,0.47579333
321,0.48846668
322,0.49816668
323,0.49885333
324,0.4993333
325,0.50762665
326,0.51699996
327,0.51699996
328,0.52364
329,0.50520664
330,0.51518
331,0.52431333
332,0.5038933
333,0.50376
334,0.5027133
335,0.49256
336,0.51233333
337,0.5134467
338,0.53058004
339,0.5211267
340,0.51212
341,0.5229267
342,0.51514
343,0.5074533
344,0.5168333
345,0.5165733
346,0.5082
347,0.5071467
348,0.5177467
349,0.5171533
350,0.5072
351,0.4984467
352,0.49660665
353,0.4970999
354,0.49639335
355,0.50586
356,0.5067934
357,0.5270133
358,0.5267533
359,0.5260866
360,0.53568
361,0.5365333
362,0.53624666
363,0.5550133
364,0.54528666
365,0.51878667
366,0.49948668
367,0.4914067
368,0.4819867
369,0.47235337
370,0.47235337
371,0.4629333
372,0.46143332
373,0.46143332
374,0.44217998
375,0.44217998
376,0.44397336
377,0.4344267
378,0.43425998
379,0.40710667
380,0.40571335
381,0.4033533
382,0.4033533
383,0.40238667
384,0.4132933
385,0.41295996
386,0.40364665
387,0.4036467
388,0.38505334
389,0.37296668
390,0.39076665
391,0.39017335
392,0.37233335
393,0.36318
394,0.383
395,0.383
396,0.36489335
397,0.34662002
398,0.33732003
399,0.33732003
400,0.32785335
401,0.33699334
402,0.33670002
403,0.34644002
404,0.34644002
405,0.36624667
406,0.36762002
407,0.36681336
408,0.37542003
409,0.37542
410,0.3639267
411,0.3639267
412,0.38120002
413,0.38097337
414,0.38133332
415,0.38276663
416,0.38320673
417,0.35480005
418,0.35417336
419,0.35382667
420,0.34449998
421,0.35524666
422,0.38266668
423,0.38278666
424,0.38420665
425,0.36546
426,0.37406665
427,0.36407334
428,0.36407334
429,0.36407334
430,0.35428664
431,0.36348
432,0.36348
433,0.37284002
434,0.37284002
435,0.39036
436,0.38121998
437,0.39912003
438,0.41669998
439,0.4164
440,0.41395995
441,0.41281334
442,0.42244667
443,0.42338666
444,0.43326
445,0.42449996
446,0.42622665
447,0.42622662
448,0.42514
449,0.42491996
450,0.42491996
451,0.43306
452,0.44302663
453,0.43302003
454,0.44271332
455,0.45288667
456,0.4243334
457,0.4243334
458,0.42433333
459,0.43485332
460,0.44616002
461,0.46407333
462,0.47349998
463,0.48141333
464,0.48012
465,0.49945998
466,0.49993333
467,0.49140668
468,0.47363335
469,0.46574003
470,0.46575332
471,0.46591333
472,0.46558666
473,0.45679995
474,0.43842003
475,0.4366
476,0.43661335
477,0.43661335
478,0.43843997
479,0.43708667
480,0.43708667
481,0.43708667
482,0.41029334
483,0.41043994
484,0.43778667
485,0.4369067
486,0.41748664
487,0.41622666
488,0.41708001
489,0.4152733
490,0.41801333
491,0.4180133
492,0.41668662
493,0.41623998
494,0.4242733
495,0.42293334
496,0.41348666
497,0.39456666
