episode,reward
0,0.9773333
1,0.96293336
2,0.9432222
3,0.6644286
4,0.6644286
5,0.69620836
6,0.6188519
7,0.5273333
8,0.50536114
9,0.53519046
10,0.49952084
11,0.5251403
12,0.5116752
13,0.49812698
14,0.47572464
15,0.45590279
16,0.4472549
17,0.44826415
18,0.44137928
19,0.44931072
20,0.44368815
21,0.42982292
22,0.41776472
23,0.4253709
24,0.4270959
25,0.4172554
26,0.41190597
27,0.4198233
28,0.44352487
29,0.45403585
30,0.45930496
31,0.4600486
32,0.45114663
33,0.4239
34,0.4239
35,0.4241
36,0.41498664
37,0.39657998
38,0.42513996
39,0.4152467
40,0.41524667
41,0.40632668
42,0.40597332
43,0.40459332
44,0.4046
45,0.41364667
46,0.42219996
47,0.4210333
48,0.43068
49,0.43068
50,0.41262
51,0.41213334
52,0.41293335
53,0.40293998
54,0.42145336
55,0.41234
56,0.41234
57,0.41279998
58,0.4400467
59,0.43064666
60,0.42112666
61,0.43066666
62,0.42274
63,0.41358003
64,0.41353333
65,0.41353336
66,0.41517335
67,0.41422
68,0.4242133
69,0.4242133
70,0.41371995
71,0.40441334
72,0.40441334
73,0.4044133
74,0.41412
75,0.40461332
76,0.42496663
77,0.43207335
