episode,reward
378,[0.9993333]
379,[0.96533334]
380,[0.]
381,[0.97066665]
382,[0.84933335]
383,[0.]
384,[0.8006667]
385,[0.]
386,[0.95]
387,[0.9766667]
388,[0.]
389,[0.86866665]
390,[0.9906667]
391,[0.9993333]
392,[0.99733335]
393,[0.9993333]
394,[0.]
395,[0.876]
396,[0.86733335]
397,[0.]
398,[0.94266665]
399,[0.87333333]
400,[0.984]
401,[0.]
402,[0.]
403,[0.]
404,[0.]
405,[0.9533333]
406,[0.]
407,[0.]
408,[0.87866664]
409,[0.98333335]
410,[0.]
411,[0.984]
412,[0.8986667]
413,[0.]
414,[0.93733335]
415,[0.]
416,[0.87666667]
417,[0.]
418,[0.]
419,[0.8106667]
420,[0.99266666]
421,[0.99266666]
422,[0.958]
423,[0.9993333]
424,[0.]
425,[0.9546667]
426,[0.9033333]
427,[0.9686667]
428,[0.]
429,[0.99333334]
430,[0.9946667]
431,[0.]
432,[0.99333334]
433,[0.]
434,[0.84866667]
435,[0.972]
436,[0.9993333]
437,[0.926]
438,[0.]
439,[0.9993333]
440,[0.99]
441,[0.89133334]
442,[0.94266665]
443,[0.]
444,[0.]
445,[0.9993333]
446,[0.96533334]
447,[0.]
448,[0.97066665]
449,[0.84933335]
450,[0.]
451,[0.8006667]
452,[0.]
453,[0.95]
454,[0.9766667]
455,[0.]
456,[0.86866665]
457,[0.9906667]
458,[0.9993333]
459,[0.99733335]
460,[0.9993333]
461,[0.]
462,[0.876]
463,[0.86733335]
464,[0.]
465,[0.94266665]
466,[0.87333333]
467,[0.984]
468,[0.]
469,[0.]
470,[0.]
471,[0.]
472,[0.9533333]
473,[0.]
474,[0.826]
475,[0.94133335]
476,[0.8386667]
477,[0.]
478,[0.]
479,[0.]
480,[0.]
481,[0.99866664]
482,[0.83066666]
483,[0.84466666]
484,[0.]
485,[0.98466665]
486,[0.]
487,[0.9866667]
488,[0.98733336]
489,[0.94666666]
490,[0.]
491,[0.]
492,[0.]
493,[0.9993333]
494,[0.998]
495,[0.]
496,[0.]
497,[0.]
498,[0.9993333]
499,[0.]
500,[0.]
501,[0.9486667]
502,[0.9086667]
503,[0.9993333]
504,[0.]
505,[0.9993333]
506,[0.99]
507,[0.89133334]
508,[0.94266665]
509,[0.]
510,[0.]
511,[0.9993333]
512,[0.96533334]
513,[0.]
514,[0.97066665]
515,[0.84933335]
516,[0.]
517,[0.8006667]
518,[0.]
519,[0.95]
520,[0.9766667]
521,[0.]
522,[0.86866665]
523,[0.9906667]
524,[0.9993333]
525,[0.99733335]
526,[0.9993333]
527,[0.]
528,[0.876]
529,[0.86733335]
530,[0.]
531,[0.94266665]
532,[0.87333333]
533,[0.984]
534,[0.]
535,[0.]
536,[0.]
537,[0.]
538,[0.9533333]
539,[0.]
540,[0.826]
541,[0.94133335]
542,[0.8386667]
543,[0.]
544,[0.]
545,[0.]
546,[0.]
547,[0.99866664]
548,[0.83066666]
549,[0.84466666]
550,[0.]
551,[0.98466665]
552,[0.]
553,[0.9866667]
554,[0.98733336]
555,[0.94666666]
556,[0.]
557,[0.]
558,[0.]
559,[0.9993333]
560,[0.998]
561,[0.]
562,[0.]
563,[0.]
564,[0.9993333]
565,[0.]
566,[0.]
567,[0.9486667]
568,[0.9086667]
569,[0.9993333]
570,[0.]
571,[0.9993333]
572,[0.]
573,[0.99333334]
574,[0.]
575,[0.886]
576,[0.9826667]
577,[0.89066666]
578,[0.]
579,[0.]
580,[0.9953333]
581,[0.99666667]
582,[0.]
583,[0.9073333]
584,[0.]
585,[0.]
586,[0.87866664]
587,[0.968]
588,[0.98066664]
589,[0.]
590,[0.]
591,[0.99666667]
592,[0.9993333]
593,[0.9686667]
594,[0.832]
595,[0.]
596,[0.98]
597,[0.]
598,[0.86]
599,[0.]
600,[0.]
601,[0.]
602,[0.992]
603,[0.]
604,[0.]
605,[0.]
