episode,reward
0,0.9993333
1,0.95533335
2,0.9993333
3,0.95533335
4,0.9393333
5,0.9586667
6,0.992
7,0.848
8,0.828
9,0.0
10,0.0
11,0.0
12,0.0
13,0.988
14,0.8753333
15,0.0
16,0.93666667
17,0.9953333
18,0.84866667
19,0.89933336
20,0.8753333
21,0.9173333
22,0.9993333
23,0.9493333
24,0.98733336
25,0.80333334
26,0.0
27,0.0
28,0.0
29,0.882
30,0.0
31,0.0
32,0.93333334
33,0.0
34,0.0
35,0.9993333
36,0.9993333
37,0.95533335
38,0.9393333
39,0.9586667
40,0.992
41,0.848
42,0.828
43,0.0
44,0.0
45,0.0
46,0.0
47,0.988
48,0.8753333
49,0.0
50,0.93666667
51,0.9953333
52,0.84866667
53,0.89933336
54,0.8753333
55,0.9173333
56,0.9993333
57,0.9493333
58,0.98733336
59,0.80333334
60,0.0
61,0.0
62,0.0
63,0.882
64,0.0
65,0.0
66,0.93333334
67,0.0
68,0.0
69,0.9993333
70,0.0
71,0.9993333
72,0.0
73,0.878
74,0.0
75,0.8513333
76,0.0
77,0.0
78,0.972
79,0.93266666
80,0.9826667
81,0.0
82,0.0
83,0.0
84,0.0
85,0.9393333
86,0.838
87,0.0
88,0.98
89,0.85333335
90,0.0
91,0.8946667
92,0.9906667
93,0.0
94,0.99
95,0.994
96,0.0
97,0.0
98,0.87333333
99,0.91333336
100,0.0
101,0.0
102,0.0
103,0.9993333
104,0.95533335
105,0.9393333
106,0.9586667
107,0.992
108,0.848
109,0.828
110,0.0
111,0.0
112,0.0
113,0.0
114,0.988
115,0.8753333
116,0.0
117,0.93666667
118,0.9953333
119,0.84866667
120,0.89933336
121,0.8753333
122,0.9173333
123,0.9993333
124,0.9493333
125,0.98733336
126,0.80333334
127,0.0
128,0.0
129,0.0
130,0.882
131,0.0
132,0.0
133,0.93333334
134,0.0
135,0.0
136,0.9993333
137,0.0
138,0.9993333
139,0.0
140,0.878
141,0.0
142,0.8513333
143,0.0
144,0.0
145,0.972
146,0.93266666
147,0.9826667
148,0.0
149,0.0
150,0.0
151,0.0
152,0.9393333
153,0.838
154,0.0
155,0.98
156,0.85333335
157,0.0
158,0.8946667
159,0.9906667
160,0.0
161,0.99
162,0.994
163,0.0
164,0.0
165,0.87333333
166,0.91333336
167,0.0
168,0.0
169,0.0
170,0.972
171,0.0
172,0.9993333
173,0.82133335
174,0.89
175,0.8693333
176,0.89066666
177,0.91466665
178,0.0
179,0.0
180,0.0
181,0.9213333
182,0.966
183,0.94133335
184,0.99333334
185,0.0
186,0.91533333
187,0.0
188,0.0
189,0.0
190,0.99266666
191,0.93666667
192,0.98933333
193,0.0
194,0.96933335
195,0.0
196,0.0
197,0.0
198,0.9166667
199,0.9993333
200,0.0
201,0.0
202,0.0
203,0.972
204,0.93266666
205,0.9826667
206,0.0
207,0.0
208,0.0
209,0.0
210,0.9393333
211,0.838
212,0.0
213,0.98
214,0.85333335
215,0.0
216,0.8946667
217,0.9906667
218,0.0
219,0.99
220,0.994
221,0.0
222,0.0
223,0.87333333
224,0.91333336
225,0.0
226,0.0
227,0.0
228,0.972
229,0.0
230,0.9993333
231,0.82133335
232,0.89
233,0.8693333
234,0.89066666
235,0.91466665
236,0.0
237,0.0
238,0.0
239,0.9213333
240,0.966
241,0.94133335
242,0.99333334
243,0.0
244,0.91533333
245,0.0
246,0.0
247,0.0
248,0.99266666
249,0.93666667
250,0.98933333
251,0.0
252,0.96933335
253,0.0
254,0.0
255,0.0
256,0.9166667
257,0.9993333
258,0.0
259,0.0
260,0.0
261,0.8793333
262,0.0
263,0.994
264,0.0
265,0.9266667
