episode,reward
395,[0.]
396,[0.]
397,[0.99333334]
398,[0.]
399,[0.97466666]
400,[0.]
401,[0.]
402,[0.802]
403,[0.9866667]
404,[0.]
405,[0.]
406,[0.]
407,[0.]
408,[0.]
409,[0.]
410,[0.]
411,[0.]
412,[0.98466665]
413,[0.87866664]
414,[0.926]
415,[0.9993333]
416,[0.9306667]
417,[0.]
418,[0.]
419,[0.]
420,[0.]
421,[0.]
422,[0.]
423,[0.93733335]
424,[0.9993333]
425,[0.]
426,[0.98733336]
427,[0.944]
428,[0.9993333]
429,[0.]
430,[0.9206667]
431,[0.9073333]
432,[0.9433333]
433,[0.]
434,[0.]
435,[0.]
436,[0.87266666]
437,[0.9213333]
438,[0.]
439,[0.]
440,[0.9993333]
441,[0.9266667]
442,[0.]
443,[0.]
444,[0.808]
445,[0.97933334]
446,[0.]
447,[0.994]
448,[0.]
449,[0.]
450,[0.]
451,[0.]
452,[0.97466666]
453,[0.]
454,[0.]
455,[0.]
456,[0.]
457,[0.822]
458,[0.]
459,[0.]
460,[0.8433333]
461,[0.]
462,[0.98933333]
463,[0.97933334]
464,[0.81133336]
465,[0.]
466,[0.978]
467,[0.802]
468,[0.9946667]
469,[0.9293333]
470,[0.9993333]
471,[0.944]
472,[0.97466666]
473,[0.9993333]
474,[0.81]
475,[0.89533335]
476,[0.]
477,[0.]
478,[0.814]
479,[0.]
480,[0.]
481,[0.]
482,[0.]
483,[0.9993333]
484,[0.87333333]
485,[0.98866665]
486,[0.]
487,[0.9993333]
488,[0.92333335]
489,[0.]
490,[0.]
491,[0.93733335]
492,[0.9993333]
493,[0.]
494,[0.98733336]
495,[0.944]
496,[0.9993333]
497,[0.]
498,[0.9206667]
499,[0.9073333]
500,[0.9433333]
501,[0.]
502,[0.]
503,[0.]
504,[0.87266666]
505,[0.9213333]
506,[0.]
507,[0.]
508,[0.9993333]
509,[0.9266667]
510,[0.]
511,[0.]
512,[0.808]
513,[0.97933334]
514,[0.]
515,[0.994]
516,[0.]
517,[0.]
518,[0.]
519,[0.]
520,[0.97466666]
521,[0.]
522,[0.]
523,[0.]
524,[0.]
525,[0.822]
526,[0.]
527,[0.]
528,[0.8433333]
529,[0.]
530,[0.98933333]
531,[0.97933334]
532,[0.81133336]
533,[0.]
534,[0.978]
535,[0.802]
536,[0.9946667]
537,[0.9293333]
538,[0.9993333]
539,[0.944]
540,[0.97466666]
541,[0.9993333]
542,[0.81]
543,[0.89533335]
544,[0.]
545,[0.]
546,[0.814]
547,[0.]
548,[0.]
549,[0.]
550,[0.]
551,[0.9993333]
552,[0.87333333]
553,[0.98866665]
554,[0.]
555,[0.9993333]
556,[0.92333335]
557,[0.]
558,[0.]
559,[0.946]
560,[0.]
561,[0.]
562,[0.9293333]
563,[0.]
564,[0.]
565,[0.]
566,[0.98866665]
